DATE,SP500
2009-09-23,1060.87
2009-09-22,1071.66
2009-09-21,1064.66
2009-09-18,1068.3
2009-09-17,1065.49
2009-09-16,1068.76
2009-09-15,1052.63
2009-09-14,1049.34
2009-09-11,1042.73
2009-09-10,1044.14
2009-09-09,1033.37
2009-09-08,1025.39
2009-09-04,1016.4
2009-09-03,1003.24
2009-09-02,994.75
2009-09-01,998.04
2009-08-31,1020.62
2009-08-28,1028.93
2009-08-27,1030.98
2009-08-26,1028.12
2009-08-25,1028
2009-08-24,1025.57
2009-08-21,1026.13
2009-08-20,1007.37
2009-08-19,996.46
2009-08-18,989.67
2009-08-17,979.73
2009-08-14,1004.09
2009-08-13,1012.73
2009-08-12,1005.81
2009-08-11,994.35
2009-08-10,1007.1
2009-08-07,1010.48
2009-08-06,997.08
2009-08-05,1002.72
2009-08-04,1005.65
2009-08-03,1002.63
2009-07-31,987.48
2009-07-30,986.75
2009-07-29,975.15
2009-07-28,979.62
2009-07-27,982.18
2009-07-24,979.26
2009-07-23,976.29
2009-07-22,954.07
2009-07-21,954.58
2009-07-20,951.13
2009-07-17,940.38
2009-07-16,940.74
2009-07-15,932.68
2009-07-14,905.84
2009-07-13,901.05
2009-07-10,879.13
2009-07-09,882.68
2009-07-08,879.56
2009-07-07,881.03
2009-07-06,898.72
2009-07-02,896.42
2009-07-01,923.33
2009-06-30,919.32
2009-06-29,927.23
2009-06-26,918.9
2009-06-25,920.26
2009-06-24,900.94
2009-06-23,895.1
2009-06-22,893.04
2009-06-19,921.23
2009-06-18,918.37
2009-06-17,910.71
2009-06-16,911.97
2009-06-15,923.72
2009-06-12,946.21
2009-06-11,944.89
2009-06-10,939.15
2009-06-09,942.43
2009-06-08,939.14
2009-06-05,940.09
2009-06-04,942.46
2009-06-03,931.76
2009-06-02,944.74
2009-06-01,942.87
2009-05-29,919.14
2009-05-28,906.83
2009-05-27,893.06
2009-05-26,910.33
2009-05-22,887
2009-05-21,888.33
2009-05-20,903.47
2009-05-19,908.13
2009-05-18,909.71
2009-05-15,882.88
2009-05-14,893.07
2009-05-13,883.92
2009-05-12,908.35
2009-05-11,909.24
2009-05-08,929.23
2009-05-07,907.39
2009-05-06,919.53
2009-05-05,903.8
2009-05-04,907.24
2009-05-01,877.52
2009-04-30,872.81
2009-04-29,873.64
2009-04-28,855.16
2009-04-27,857.51
2009-04-24,866.23
2009-04-23,851.92
2009-04-22,843.55
2009-04-21,850.08
2009-04-20,832.39
2009-04-17,869.6
2009-04-16,865.3
2009-04-15,852.06
2009-04-14,841.5
2009-04-13,858.73
2009-04-09,856.56
2009-04-08,825.16
2009-04-07,815.55
2009-04-06,835.48
2009-04-03,842.5
2009-04-02,834.38
2009-04-01,811.08
2009-03-31,797.87
2009-03-30,787.53
2009-03-27,815.94
2009-03-26,832.86
2009-03-25,813.88
2009-03-24,806.12
2009-03-23,822.92
2009-03-20,768.54
2009-03-19,784.04
2009-03-18,794.35
2009-03-17,778.12
2009-03-16,753.89
2009-03-13,756.55
2009-03-12,750.74
2009-03-11,721.36
2009-03-10,719.6
2009-03-09,676.53
2009-03-06,683.38
2009-03-05,682.55
2009-03-04,712.87
2009-03-03,696.33
2009-03-02,700.82
2009-02-27,735.09
2009-02-26,752.83
2009-02-25,764.9
2009-02-24,773.14
2009-02-23,743.33
2009-02-20,770.05
2009-02-19,778.94
2009-02-18,788.42
2009-02-17,789.17
2009-02-13,826.84
2009-02-12,835.19
2009-02-11,833.74
2009-02-10,827.16
2009-02-09,869.89
2009-02-06,868.6
2009-02-05,845.85
2009-02-04,832.23
2009-02-03,838.51
2009-02-02,825.44
2009-01-30,825.88
2009-01-29,845.14
2009-01-28,874.09
2009-01-27,845.71
2009-01-26,836.57
2009-01-23,831.95
2009-01-22,827.5
2009-01-21,840.24
2009-01-20,805.22
2009-01-16,850.12
2009-01-15,843.74
2009-01-14,842.62
2009-01-13,871.79
2009-01-12,870.26
2009-01-09,890.35
2009-01-08,909.73
2009-01-07,906.65
2009-01-06,934.7
2009-01-05,927.45
2009-01-02,931.8
2008-12-31,903.25
2008-12-30,890.64
2008-12-29,869.42
2008-12-26,872.8
2008-12-24,868.15
2008-12-23,863.16
2008-12-22,871.63
2008-12-19,887.88
2008-12-18,885.28
2008-12-17,904.42
2008-12-16,913.18
2008-12-15,868.57
2008-12-12,879.73
2008-12-11,873.59
2008-12-10,899.24
2008-12-09,888.67
2008-12-08,909.7
